hist_lag,rebalancing_frequency,risk_tolerance,Return,Volatility,Sharpe Ratio,Portfolio Combination,risk_score
252,42,0.6,0.006064848,0.026338807,3.594997134,"{'CEG': 34207.84, 'ENPH': 3434.32, 'EQT': 19447.34, 'FSLR': 19651.93, 'OXY': 16565.3}",0.61
378,252,0.7,0.005289147,0.026331422,3.169276584,"{'BLDR': 1147.29, 'DVN': 69629.56, 'EXR': 4500.57, 'F': 67361.91, 'FTNT': 44412.97, 'IT': 1688.16, 'NVDA': 17444.47}",0.61
252,252,0.8,0.006265238,0.026271142,3.591696352,"{'ANET': 13227.0, 'BLDR': 9674.99, 'DVN': 83120.01, 'F': 102.58, 'FTNT': 14450.24, 'IT': 257.72, 'NVDA': 79685.88}",0.61
378,231,0.5,0.005175489,0.026231474,3.012374935,"{'CF': 12392.16, 'COP': 2870.13, 'DVN': 11500.36, 'DLTR': 4939.95, 'ENPH': 2671.72, 'EQT': 27110.03, 'XOM': 11.79, 'GIS': 586.52, 'LLY': 95.57, 'MRO': 13957.17, 'MPC': 3978.85, 'MCK': 4286.96, 'OXY': 25394.62, 'VRTX': 3160.39}",0.6
378,63,0.6,0.005066312,0.026204496,2.962202678,"{'CF': 12155.96, 'COP': 3140.07, 'DVN': 13342.38, 'DLTR': 4078.03, 'ENPH': 2606.74, 'EQT': 28185.92, 'MRO': 18771.22, 'MPC': 3640.27, 'MCK': 3721.22, 'OXY': 26478.69, 'VRTX': 2574.48}",0.6
252,231,0.8,0.005844336,0.026172238,3.463616835,"{'CEG': 29699.51, 'ENPH': 8473.32, 'EQT': 52406.74, 'FSLR': 7192.81, 'OXY': 25297.83}",0.59
378,21,0.5,0.005840824,0.02616843,3.270351379,"{'CAH': 3515.51, 'CEG': 33840.13, 'EQT': 4637.7, 'FICO': 624.82, 'MPC': 6769.32, 'MCK': 2465.68, 'OXY': 17854.31, 'SMCI': 109155.03, 'VLO': 436.69, 'VRTX': 2931.6}",0.59
252,147,0.8,0.005705566,0.026167147,3.557471592,"{'CEG': 16631.13, 'ERIE': 2525.18, 'FSLR': 23333.9, 'LW': 6624.43, 'SMCI': 314663.62}",0.59
378,126,0.8,0.00509936,0.026139233,2.980418037,"{'AZO': 309.09, 'CF': 7071.94, 'DVN': 18821.13, 'DLTR': 8034.37, 'LLY': 2224.25, 'MCK': 7425.13, 'OXY': 32164.59, 'VRTX': 3834.76}",0.58
378,105,0.6,0.00487244,0.02613712,2.801507327,"{'CEG': 43283.77, 'EQT': 2993.68, 'FICO': 325.3, 'MPC': 7081.85, 'MCK': 2213.04, 'OXY': 22334.38, 'SMCI': 126100.67, 'VRTX': 2726.24}",0.58
378,126,0.7,0.005083692,0.026064902,2.976268099,"{'AZO': 345.01, 'CF': 7184.31, 'CTRA': 258.4, 'DVN': 16943.07, 'DLTR': 8013.04, 'LLY': 2496.52, 'MCK': 7443.33, 'OXY': 29685.75, 'VRTX': 4085.7}",0.57
252,63,0.6,0.005400114,0.026041361,3.253995994,"{'CEG': 27735.45, 'ENPH': 7341.14, 'EQT': 47298.29, 'FSLR': 7687.89, 'MPC': 22.31, 'MCK': 1089.24, 'OXY': 23597.33}",0.57
252,84,0.5,0.006032895,0.025887122,3.672785258,"{'CAH': 3342.39, 'CEG': 36603.85, 'EQT': 44613.86, 'MPC': 1095.93, 'MCK': 3021.06, 'OXY': 44277.9}",0.57
378,252,0.6,0.005231222,0.025808599,3.214095034,"{'ANET': 617.43, 'BLDR': 4190.26, 'DVN': 54130.61, 'EXR': 5036.89, 'F': 63512.98, 'FTNT': 34861.87, 'IT': 2287.69, 'MRO': 18708.47, 'NUE': 2839.82, 'NVDA': 22410.06}",0.56
252,168,0.6,0.005696072,0.025786345,3.477603626,"{'CAH': 215.87, 'CEG': 38719.71, 'EQT': 48838.23, 'MCK': 2532.47, 'OXY': 48634.23}",0.56
378,42,0.5,0.005378473,0.025769332,3.168459851,"{'DLTR': 595.71, 'EQT': 17267.59, 'XOM': 1883.21, 'LW': 2742.41, 'MPC': 2025.75, 'MCK': 8702.82, 'OXY': 25696.87, 'SMCI': 186053.41, 'VRTX': 4187.76}",0.55
378,168,0.5,0.005354184,0.025727298,3.229122386,"{'CF': 17420.13, 'DVN': 15457.08, 'EQT': 49901.78, 'MCK': 4871.16, 'OXY': 34900.91, 'SMCI': 54715.6, 'VRTX': 213.98}",0.55
252,21,0.5,0.006305881,0.025721811,3.690201356,"{'CEG': 13046.59, 'ERIE': 3575.87, 'FSLR': 14629.17, 'GPC': 1028.77, 'GILD': 7770.46, 'LW': 11070.29, 'MPC': 1680.96, 'MRK': 2656.92, 'SMCI': 199061.31}",0.54
378,189,0.6,0.005023498,0.025591703,3.074711389,"{'ANET': 5780.43, 'CF': 6828.76, 'COP': 84.7, 'COST': 755.48, 'DVN': 29889.79, 'FTNT': 7488.29, 'MRO': 34535.39, 'MOS': 203.45, 'NUE': 5403.94, 'NVDA': 32464.13, 'PANW': 3933.35, 'PSA': 885.69, 'TRGP': 23435.46}",0.54
252,231,0.7,0.005781431,0.02552005,3.532504133,"{'CEG': 31555.67, 'ENPH': 8165.46, 'EQT': 53984.31, 'FSLR': 6162.6, 'OXY': 25341.68}",0.54
378,147,0.5,0.004881214,0.025504234,2.914518323,"{'CAH': 3794.81, 'CEG': 36528.62, 'EQT': 5006.15, 'FICO': 674.46, 'MPC': 7307.12, 'MCK': 2661.57, 'OXY': 19272.77, 'SMCI': 117827.05, 'VLO': 471.38, 'VRTX': 3164.51}",0.53
252,126,0.6,0.005711978,0.025368075,3.441468044,"{'ABBV': 7515.08, 'BMY': 2295.18, 'CF': 3954.37, 'DLTR': 11189.67, 'MCK': 6782.88, 'OXY': 28121.92, 'VRTX': 7976.15}",0.53
252,147,0.7,0.00561177,0.025297482,3.598652029,"{'CEG': 16468.84, 'ERIE': 3555.84, 'FSLR': 18870.06, 'GILD': 5929.48, 'LW': 10444.09, 'SMCI': 273890.59}",0.52
378,252,0.5,0.005175028,0.025128871,3.301089705,"{'ANET': 1587.23, 'BX': 764.83, 'BLDR': 4372.93, 'CPT': 1149.55, 'DVN': 45695.74, 'EXR': 5431.38, 'F': 59096.69, 'FTNT': 30779.34, 'IT': 2394.62, 'MRO': 15601.6, 'MAA': 780.27, 'NUE': 3535.47, 'NVDA': 21203.37}",0.52
252,105,0.7,0.005075504,0.025009667,3.131801713,"{'CEG': 16277.29, 'ERIE': 3514.49, 'FSLR': 18650.58, 'GILD': 5860.51, 'LW': 10322.62, 'SMCI': 270704.97}",0.52
378,210,0.6,0.004248057,0.024962778,2.571320997,"{'AZO': 376.48, 'CF': 7176.07, 'DVN': 14688.16, 'DLTR': 7892.54, 'EXC': 3122.17, 'LLY': 2741.8, 'MCK': 7451.97, 'OXY': 26883.22, 'PANW': 272.42, 'VRTX': 4321.17}",0.51
378,126,0.6,0.004955549,0.024923661,3.035924577,"{'AZO': 373.14, 'CF': 7112.3, 'DVN': 14557.65, 'DLTR': 7822.41, 'EXC': 3094.42, 'LLY': 2717.44, 'MCK': 7385.76, 'OXY': 26644.34, 'PANW': 270.0, 'VRTX': 4282.78}",0.51
252,252,0.7,0.006147187,0.02490852,3.734443086,"{'AMD': 4643.65, 'ANET': 10182.88, 'BLDR': 11736.88, 'DVN': 53158.19, 'F': 32249.48, 'FTNT': 14687.19, 'IT': 1954.58, 'NVDA': 57818.18, 'PFE': 5137.86}",0.5
